,name,latitude,longitude,description
59,Residència Assistida per a Gent Gran Adegius,41.41041608639633,2.160063116454555,elderly_homes
60,Residència Assistida per a Gent Gran Medinaceli,41.37805082537973,2.179083984671291,elderly_homes
61,Residència Assistida per a Gent Gran Diagonal II,41.399934234567695,2.169902171885273,elderly_homes
62,Residència Assistida per a Gent Gran Merán Lesseps,41.40496686744246,2.153644511399691,elderly_homes
63,Residència Assistida per a Gent Gran Ontalva,41.39375515186429,2.173575787347303,elderly_homes
64,Residència Assistida per a Gent Gran Desalup-Horta,41.42852402850117,2.159362968385967,elderly_homes
65,Residència Assistida per a Gent Gran Mare de Déu de Montserrat,41.42415306102033,2.18276676872098,elderly_homes
66,Residència Assistida Las Acacias,41.4066591363902,2.178351625843321,elderly_homes
67,Residència Assistida per a Gent Gran Fort Pienc,41.3961796227301,2.182737155258897,elderly_homes
68,Residència Assistida San Ignacio de Loyola,41.40349112799713,2.117231833095536,elderly_homes
69,Residència Assistida per a Gent San Pablo,41.41253250308285,2.182181889228122,elderly_homes
70,Residència Assistida per a Gent Gran Esguard,41.39595074249803,2.162553259338088,elderly_homes
71,Residència Assistida per a Gent Gran Diagonal I,41.399934234567695,2.169902171885273,elderly_homes
72,Residència Assistida per a Gent Gran La Verneda,41.42039995079151,2.201206366846522,elderly_homes
73,Residència Assistida per a Gent Gran Bacumar,41.429772805651496,2.142543751041081,elderly_homes
74,Residència Assistencial per a Gent Gran Nuestra Señora de Fátima del Tibidabo,41.42385940486361,2.119140250954285,elderly_homes
75,Residència Assistida Sanitas Residencial Bonaire - Guinardó,41.42354118341348,2.171018619042755,elderly_homes
76,Residència Assistencial per a Gent Gran Roses de Sant Joan,41.397375295098314,2.172747525247787,elderly_homes
77,Residència Assistida per a Gent Gran El Meu Jardí,41.411295077698654,2.132201011566737,elderly_homes
78,Residència Assistida Can Caralleu,41.403146200238425,2.115677841129126,elderly_homes
79,Residència Assistida per a Gent Gran Verdi,41.40727475964867,2.153320231657314,elderly_homes
80,Residència Assistida Resiges,41.410349187646396,2.15995812716929,elderly_homes
81,Residència Assistida per a Gent Gran Barcelona - Font Florida,41.36785863814929,2.141714135768519,elderly_homes
82,Residència Assistida per a Gent Gran Aragó,41.39403440719238,2.167068840574876,elderly_homes
83,Residència Assistida per a Gent Gran Casa meva,41.40527800101117,2.128691976801899,elderly_homes
