Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,6,Gràcia,29,el Coll,Dona,25-29 anys,27
2007,6,Gràcia,28,Vallcarca i els Penitents,Dona,25-29 anys,73
2007,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,25-29 anys,142
2007,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,25-29 anys,169
2007,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,25-29 anys,67
2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,25-29 anys,40
2007,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,25-29 anys,54
2007,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,25-29 anys,1
2007,4,Les Corts,21,Pedralbes,Dona,25-29 anys,25
2007,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,25-29 anys,105
2007,4,Les Corts,19,les Corts,Dona,25-29 anys,197
2007,3,Sants-Montjuïc,18,Sants,Dona,25-29 anys,200
2007,3,Sants-Montjuïc,17,Sants - Badal,Dona,25-29 anys,99
2007,3,Sants-Montjuïc,16,la Bordeta,Dona,25-29 anys,56
2007,3,Sants-Montjuïc,15,Hostafrancs,Dona,25-29 anys,96
2007,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,25-29 anys,31
2007,3,Sants-Montjuïc,13,la Marina de Port,Dona,25-29 anys,58
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,25-29 anys,2
2007,3,Sants-Montjuïc,11,el Poble Sec,Dona,25-29 anys,170
2007,2,Eixample,10,Sant Antoni,Dona,25-29 anys,188
2007,7,Horta-Guinardó,37,el Carmel,Dona,25-29 anys,100
2007,7,Horta-Guinardó,38,la Teixonera,Dona,25-29 anys,37
2007,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,25-29 anys,14
2007,7,Horta-Guinardó,40,Montbau,Dona,25-29 anys,12
2007,10,Sant Martí,68,el Poblenou,Dona,25-29 anys,107
2007,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,25-29 anys,30
2007,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,25-29 anys,53
2007,10,Sant Martí,65,el Clot,Dona,25-29 anys,94
2007,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,25-29 anys,151
2007,9,Sant Andreu,63,Navas,Dona,25-29 anys,69
2007,9,Sant Andreu,62,el Congrés i els Indians,Dona,25-29 anys,31
2007,9,Sant Andreu,61,la Sagrera,Dona,25-29 anys,95
2007,9,Sant Andreu,60,Sant Andreu,Dona,25-29 anys,189
2007,9,Sant Andreu,59,el Bon Pastor,Dona,25-29 anys,30
2007,9,Sant Andreu,58,Baró de Viver,Dona,25-29 anys,14
2007,9,Sant Andreu,57,la Trinitat Vella,Dona,25-29 anys,24
2007,8,Nou Barris,56,Vallbona,Dona,25-29 anys,10
2007,10,Sant Martí,70,el Besòs i el Maresme,Dona,25-29 anys,42
2007,8,Nou Barris,55,Ciutat Meridiana,Dona,25-29 anys,18
2007,8,Nou Barris,53,la Trinitat Nova,Dona,25-29 anys,18
2007,8,Nou Barris,52,la Prosperitat,Dona,25-29 anys,72
2007,8,Nou Barris,51,Verdun,Dona,25-29 anys,40
2007,8,Nou Barris,50,les Roquetes,Dona,25-29 anys,40
2007,8,Nou Barris,49,Canyelles,Dona,25-29 anys,9
2007,8,Nou Barris,48,la Guineueta,Dona,25-29 anys,28
2007,8,Nou Barris,47,Can Peguera,Dona,25-29 anys,11
2007,8,Nou Barris,46,el Turó de la Peira,Dona,25-29 anys,35
2007,8,Nou Barris,45,Porta,Dona,25-29 anys,63
2007,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,25-29 anys,68
2007,7,Horta-Guinardó,43,Horta,Dona,25-29 anys,72
2007,7,Horta-Guinardó,42,la Clota,Dona,25-29 anys,0
2007,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,25-29 anys,14
2007,8,Nou Barris,54,Torre Baró,Dona,25-29 anys,3
2007,9,Sant Andreu,59,el Bon Pastor,Dona,30-34 anys,50
2007,9,Sant Andreu,60,Sant Andreu,Dona,30-34 anys,315
2007,9,Sant Andreu,61,la Sagrera,Dona,30-34 anys,119
2007,2,Eixample,5,el Fort Pienc,Dona,40-44 anys,123
